Argument,Value,,,,,,,,,,
Query search,Great Fire of London England,,,,,,,,,,
From,19910806,,,,,,,,,,
To,20240208,,,,,,,,,,
Offset,0,,,,,,,,,,
Number of results,2000,,,,,,,,,,
Website,,,,,,,,,,,
Format,,,,,,,,,,,
Collection,,,,,,,,,,,
,,,,,,,,,,,
Results,,,,,,,,,,,
Year,Month,Day,Timestamp,Original URL,Link to archive,Link to screenshot,Link to extracted text,Collection,MIME type,Title,Snippet
2020,April,19,20200419214136,https://www.hardrockhotels.com/london,https://arquivo.pt/wayback/20200419214136/https://www.hardrockhotels.com/london,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20200419214136%2Fhttps%3A%2F%2Fwww.hardrockhotels.com%2Flondon,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.hardrockhotels.com%2Flondon%2F20200419214136,AWP32,text/html,Hotel in Maryleborne | Hyde Park | Hard Rock Hotel London," <em>Great</em> Cumberland Place, <em>London</em>, <em>England</em> , United Kingdom Rooms &amp; Suites Deluxe Rooms Rock Royalty Rooms<span class=""ellipsis""> ... </span> Departure Rooms 1 Adults 2 Children 0 Promo Code Close Booking <em>Great</em> Cumberland Place, <em>London</em><span class=""ellipsis""> ... </span> Hotel <em>London</em>,&nbsp;in order to proactively promote social distancing and help curb the spread <em>of</em> COVID-19<span class=""ellipsis""> ... </span>"
2020,March,19,20200319173829,https://www.easyterra.co.uk/united-kingdom/car-hire-london.html,https://arquivo.pt/wayback/20200319173829/https://www.easyterra.co.uk/united-kingdom/car-hire-london.html,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20200319173829%2Fhttps%3A%2F%2Fwww.easyterra.co.uk%2Funited-kingdom%2Fcar-hire-london.html,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.easyterra.co.uk%2Funited-kingdom%2Fcar-hire-london.html%2F20200319173829,AWP32,text/html,Car hire London - Compare car hire prices in London," the southeast <em>of</em> <em>England</em> on the River Thames, which flows through <em>London</em> from west to east. It is a<span class=""ellipsis""> ... </span> and money. We compare the offers <em>of</em> car rental companies in <em>London</em> on your behalf. Free cancellation<span class=""ellipsis""> ... </span> all well-known suppliers Car hire <em>London</em> Home Car hire United Kingdom Car hire <em>England</em> Car hire <em>London</em><span class=""ellipsis""> ... </span>"
2020,March,25,20200325125934,https://www.easyterra.com/united-kingdom/car-rental-london.html,https://arquivo.pt/wayback/20200325125934/https://www.easyterra.com/united-kingdom/car-rental-london.html,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20200325125934%2Fhttps%3A%2F%2Fwww.easyterra.com%2Funited-kingdom%2Fcar-rental-london.html,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.easyterra.com%2Funited-kingdom%2Fcar-rental-london.html%2F20200325125934,AWP32,text/html,Car Rental London - Compare car rental prices in London," city is situated in the southeast <em>of</em> <em>England</em> on the River Thames, which flows through <em>London</em> from<span class=""ellipsis""> ... </span> time and money. We compare the offers <em>of</em> car rental companies in <em>London</em> on your behalf. Free<span class=""ellipsis""> ... </span> all well-known suppliers Car Rental <em>London</em> Home Car Rental United Kingdom Car Rental <em>England</em> Car<span class=""ellipsis""> ... </span>"
2019,September,22,20190922141931,http://general-southerner.blogspot.com/,https://arquivo.pt/wayback/20190922141931/http://general-southerner.blogspot.com/,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20190922141931%2Fhttp%3A%2F%2Fgeneral-southerner.blogspot.com%2F,https://arquivo.pt/textextracted?m=http%3A%2F%2Fgeneral-southerner.blogspot.com%2F%2F20190922141931,AWP30,text/html,London Calling," is a moment, in which Mr Parker discusses with Mr Heywood the <em>great</em> benefits <em>of</em> Sanditon as opposed<span class=""ellipsis""> ... </span> <em>great</em> writing. He goes on and on using words he doesn&#8217;t necessarily know the meaning <em>of</em>. Charlotte<span class=""ellipsis""> ... </span> review <em>of</em> JANE AUSTEN&#8217;S <em>ENGLAND</em>: A TRAVEL GUIDE by Karin Quint Jane Austen&#8217;s <em>England</em> by Karin Quint<span class=""ellipsis""> ... </span>"
2019,May,22,20190522012001,https://no.tripadvisor.com/Attraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/wayback/20190522012001/https://no.tripadvisor.com/Attraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20190522012001%2Fhttps%3A%2F%2Fno.tripadvisor.com%2FAttraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/textextracted?m=https%3A%2F%2Fno.tripadvisor.com%2FAttraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html%2F20190522012001,FAWP3720190522,text/html,The Monument to the Great Fire of London (England) - Anmeldelser,"The Monument to the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> (<em>England</em>) - Anmeldelser Fly Restauranter Ting &aring; gj&oslash;re<span class=""ellipsis""> ... </span> <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> Hotell i n&aelig;rheten av Chelsea FC Stadium Tour &amp; Museum Hotell i n&aelig;rheten av Old<span class=""ellipsis""> ... </span> The Monument to the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> Alle ting &aring; gj&oslash;re i <em>London</em> Popul&aelig;re nabolag Aktiviteter og<span class=""ellipsis""> ... </span>"
2019,May,20,20190520215900,https://no.tripadvisor.com/Attraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/wayback/20190520215900/https://no.tripadvisor.com/Attraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20190520215900%2Fhttps%3A%2F%2Fno.tripadvisor.com%2FAttraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/textextracted?m=https%3A%2F%2Fno.tripadvisor.com%2FAttraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html%2F20190520215900,FAWP3720190520,text/html,The Monument to the Great Fire of London (England) - Anmeldelser,"The Monument to the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> (<em>England</em>) - Anmeldelser Fly Restauranter Ting &aring; gj&oslash;re<span class=""ellipsis""> ... </span> <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> Hotell i n&aelig;rheten av Chelsea FC Stadium Tour &amp; Museum Hotell i n&aelig;rheten av Old<span class=""ellipsis""> ... </span> n&aelig;r The Monument to the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> Alle ting &aring; gj&oslash;re i <em>London</em> Popul&aelig;re nabolag<span class=""ellipsis""> ... </span>"
2019,May,19,20190519003100,https://www.tripadvisor.se/Attraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/wayback/20190519003100/https://www.tripadvisor.se/Attraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20190519003100%2Fhttps%3A%2F%2Fwww.tripadvisor.se%2FAttraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.tripadvisor.se%2FAttraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html%2F20190519003100,FAWP3720190519,text/html,The Monument to the Great Fire of London (England) - omdömen,"The Monument to the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> (<em>England</em>) - omd&ouml;men Flygresor Semesterbost&auml;der<span class=""ellipsis""> ... </span> restauranger i <em>London</em> Restauranger i n&auml;rheten av The Monument to the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> Alla<span class=""ellipsis""> ... </span>&nbsp; Saker att g&ouml;ra i n&auml;rheten av The Monument to the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> Appar Milj&ouml;ledare <em>London</em> S&ouml;k<span class=""ellipsis""> ... </span>"
2019,May,20,20190520215906,https://www.tripadvisor.dk/Attraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/wayback/20190520215906/https://www.tripadvisor.dk/Attraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20190520215906%2Fhttps%3A%2F%2Fwww.tripadvisor.dk%2FAttraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.tripadvisor.dk%2FAttraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html%2F20190520215906,FAWP3720190520,text/html,The Monument to the Great Fire of London (England) - anmeldelser,"The Monument to the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> (<em>England</em>) - anmeldelser Flyrejser Restauranter Aktiviteter<span class=""ellipsis""> ... </span> Hoteller i n&aelig;rheden af The Monument to the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> Hoteller i n&aelig;rheden af Chelsea FC<span class=""ellipsis""> ... </span> the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> Alle aktiviteter i <em>London</em> Popul&aelig;re kvarterer Barer og klubber i Clapham<span class=""ellipsis""> ... </span>"
2019,May,22,20190522011451,https://www.tripadvisor.dk/Attraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/wayback/20190522011451/https://www.tripadvisor.dk/Attraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20190522011451%2Fhttps%3A%2F%2Fwww.tripadvisor.dk%2FAttraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.tripadvisor.dk%2FAttraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html%2F20190522011451,FAWP3720190522,text/html,The Monument to the Great Fire of London (England) - anmeldelser,"The Monument to the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> (<em>England</em>) - anmeldelser Flyrejser Restauranter Aktiviteter<span class=""ellipsis""> ... </span> Hoteller i n&aelig;rheden af The Monument to the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> Hoteller i n&aelig;rheden af Chelsea FC<span class=""ellipsis""> ... </span> the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> Alle aktiviteter i <em>London</em> Popul&aelig;re kvarterer Barer og klubber i Clapham<span class=""ellipsis""> ... </span>"
2019,April,19,20190419223446,https://www.tripadvisor.se/Attraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/wayback/20190419223446/https://www.tripadvisor.se/Attraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20190419223446%2Fhttps%3A%2F%2Fwww.tripadvisor.se%2FAttraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.tripadvisor.se%2FAttraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html%2F20190419223446,FAWP3720190419,text/html,The Monument to the Great Fire of London (England) - omdömen,"The Monument to the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> (<em>England</em>) - omd&ouml;men Flygresor Semesterbost&auml;der<span class=""ellipsis""> ... </span> &nbsp; &nbsp; Storbritannien (UK) &nbsp; &nbsp; <em>England</em> &nbsp; &nbsp; <em>London</em> &nbsp; &nbsp; <em>London</em> Sev&auml;rdheter &nbsp; &nbsp; The Monument to the <em>Great</em> <em>Fire</em> <em>of</em><span class=""ellipsis""> ... </span> landm&auml;rken Hotell n&auml;ra The Monument to the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> Hotell n&auml;ra Chelsea FC Stadium Tour &amp;<span class=""ellipsis""> ... </span>"
2019,April,21,20190421232953,https://www.tripadvisor.com.vn/Attraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/wayback/20190421232953/https://www.tripadvisor.com.vn/Attraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20190421232953%2Fhttps%3A%2F%2Fwww.tripadvisor.com.vn%2FAttraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.tripadvisor.com.vn%2FAttraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html%2F20190421232953,FAWP3720190421,text/html,The Monument to the Great Fire of London (England) - Đánh giá,"The Monument to the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> (<em>England</em>) - &#272;a&#769;nh gia&#769; Chuy&ecirc;&#769;n bay Nha&#768; ha&#768;ng Ho&#7841;t &#273;&#7897;ng<span class=""ellipsis""> ... </span> <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> Ch&acirc;u &Acirc;u &nbsp; &nbsp; V&#432;&#417;ng qu&#7889;c Anh (UK) &nbsp; &nbsp; <em>England</em> &nbsp; &nbsp; <em>London</em> &nbsp; &nbsp; Ho&#7841;t &#273;&#7897;ng gi&#7843;i tr&iacute;<span class=""ellipsis""> ... </span> Jacuzzi t&#7841;i <em>London</em> Th&#7855;ng c&#7843;nh &#7903; g&#7847;n Kha&#769;ch sa&#803;n &#417;&#777; g&acirc;&#768;n The Monument to the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> Kha&#769;ch<span class=""ellipsis""> ... </span>"
2019,April,19,20190419223524,https://www.tripadvisor.com.vn/Attraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/wayback/20190419223524/https://www.tripadvisor.com.vn/Attraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20190419223524%2Fhttps%3A%2F%2Fwww.tripadvisor.com.vn%2FAttraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.tripadvisor.com.vn%2FAttraction_Review-g186338-d297133-Reviews-The_Monument_to_the_Great_Fire_of_London-London_England.html%2F20190419223524,FAWP3720190419,text/html,The Monument to the Great Fire of London (England) - Đánh giá,"The Monument to the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> (<em>England</em>) - &#272;a&#769;nh gia&#769; Chuy&ecirc;&#769;n bay Nha&#768; ha&#768;ng Ho&#7841;t &#273;&#7897;ng<span class=""ellipsis""> ... </span> Jacuzzi t&#7841;i <em>London</em> Th&#7855;ng c&#7843;nh &#7903; g&#7847;n Kha&#769;ch sa&#803;n &#417;&#777; g&acirc;&#768;n The Monument to the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> Kha&#769;ch<span class=""ellipsis""> ... </span> Stansted T&#7845;t c&#7843; nh&agrave; h&agrave;ng <em>London</em> Nh&agrave; h&agrave;ng g&#7847;n The Monument to the <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> T&acirc;&#769;t ca&#777;<span class=""ellipsis""> ... </span>"
2020,March,27,20200327010651,https://commons.wikimedia.org/wiki/Category:Great_Fire_of_London,https://arquivo.pt/wayback/20200327010651/https://commons.wikimedia.org/wiki/Category:Great_Fire_of_London,https://arquivo.pt/screenshot?url=https%3A%2F%2Farquivo.pt%2FnoFrame%2Freplay%2F20200327010651%2Fhttps%3A%2F%2Fcommons.wikimedia.org%2Fwiki%2FCategory%3AGreat_Fire_of_London,https://arquivo.pt/textextracted?m=https%3A%2F%2Fcommons.wikimedia.org%2Fwiki%2FCategory%3AGreat_Fire_of_London%2F20200327010651,FAWP4020200327,text/html,Category:Great Fire of London - Wikimedia Commons,", 2 September to Wednesday, 5 September 1666. <em>Great</em> <em>Fire</em> <em>Of</em> <em>London</em>&nbsp; disaster in 17th century <em>England</em><span class=""ellipsis""> ... </span>Category:<em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> - Wikimedia Commons Help Category:<em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> From Wikimedia<span class=""ellipsis""> ... </span> nach offiziellen Zahlen nur neun Personen das Leben kostete. English: The <em>Great</em> <em>Fire</em> <em>of</em> <em>London</em> was a<span class=""ellipsis""> ... </span>"
